tsl,byd
0.353185156,0.047861692
0.353185156,0.931244049
0.292068188,0.353787529
0.411581043,0.988501752
0.048553196,0.094692244
0.329577804,0.920344335
0.360102239,0.485716564
0.271753514,0.953307054
0.126024797,0.035764337
0.363840312,0.999604793
0.358490566,0.001090678
0.203616373,0.379836861
0.437597847,0.08953783
0.508696586,0.503072373
0.044303612,0.969535544
0.784047283,0.832400632
0.482447787,0.362290808
0.5,0.226173323
0.30005522,0.684448781
0.448544308,0.503272058
0.290950059,0.538225045
0.983363282,0.028584028
0.465517241,0.592811051
0.884871683,0.468099683
0.003010331,0.285515739
0.088485411,0.247520043
0.60394957,0.729033625
0.378896691,0.01198738
0.197893184,0.169378162
0.399348602,0.052825846
0.760768311,0.346708572
0.192927128,0.971033447
0.192927128,0.20741144
0.473767218,0.830170928
0.163891077,0.766743887
0.086524182,0.273559688
0.132021682,0.78228748
0.000211665,0.811434003
0.905578681,0.394505743
0.683937046,0.252015526
0.781651654,0.503272058
0.658254208,0.529494713
0.956096104,0.128442196
0.369836757,0.128442196
0.369836757,0.128442196
0.544178991,0.69515928
0.67207184,0.69515928
0.23146893,0.033832086
0.928978828,0.619779905
0.182703031,0.503272058
,0.075796256
,0.735885017
0.482447787,0.935955877
0.387261159,0.70764961
0.152585419,0.166263564
0.685816753,0.741104629
0.855860246,0.358163779
0.345278755,0.012329873
0.595481839,0.128442196
0.941233934,0.080621317
0.456109684,0.973700457
0.264858809,0.725523871
0.929183888,0.998824149
0.752873563,0.958897312
0.893115476,0.602953889
0.334016832,0.16054168
0.581938714,0.000569667
0.203860906,0.964023646
0.723160373,0.194752185
0.037715638,0.189108979
0.208325144,0.87836649
0.447678459,0.87836649
0.458811275,0.326567337
0.176655516,0.974538712
0.541813434,0.735032439
0.855500524,0.367229377
0.844281779,0.026932342
0.067637086,0.459984029
0.931208215,0.999292167
0.090387226,0.062142321
0.550573579,0.116028391
0.00071987,0.603170986
0.685572392,0.511654552
0.870563037,0.9998539
0.184151973,0.184156264
0.269589989,0.985360779
0.081960934,0.687388444
0.120899537,0.236262082
0.128557962,0.333316048
0.062887546,0.988086727
0.229763715,0.971843071
0.047804894,0.974493222
0.134234711,0.032591664
0.160472756,0.126186656
0.975457642,0.025605841
,0.154024131
0.069352771,0.861057303
0.06260312,0.639352161
0.842178754,0.989634663
0.026240197,0.972585088
0.374495208,0.229797456
0.990280854,0.946596755
0.34375,0.122424954
0.103732389,0.330051515
0.933294426,0.999820874
0.81081313,0.550428054
0.750919556,0.97916752
0.744130006,0.503272058
0.880975732,0.392508585
0.094735616,0.901171806
0.727869956,0.64032797
0.228185678,0.20112322
0.404876628,0.023535308
0.99291147,0.200081968
0.473767218,0.564508933
0.225290157,0.604702099
0.190588786,0.85386932
0.160683818,0.223954084
0.004311023,0.98878706
0.17168183,0.979222204
0.551432544,0.979222204
0.574900896,0.982382241
0.72734133,0.287931808
0.030325672,0.884428033
0.572303364,0.413575303
0.55624947,0.99223601
0.799641991,0.828504154
0.150185692,0.11107358
0.966219336,0.042354554
0.993730843,0.277245663
0.019055383,0.39716016
0.956521739,0.583172354
0.676929349,0.357381086
0.307445604,0.141902997
0.223763623,0.047247801
0.455579962,0.948416803
0.537547051,0.507562279
0.868306757,0.346815921
0.718843442,0.023014892
0.866267476,0.985345423
0.000663504,0.995808563
0.162896317,0.970463095
0.64239477,0.107070476
0.308678163,0.488549685
0.947319289,0.192513236
0.742437089,0.109027101
0.849396801,0.323438987
0.602036898,0.242460179
0.272682916,0.794101213
0.76874247,0.962079731
0.237548035,0.883704816
0.997506368,0.838167039
0.923258461,0.541512041
0.5,0.739314261
0.924812049,0.672065143
0.714261181,0.974056135
0.879432809,0.872200975
0.115917919,0.353578365
0.02000593,0.954028844
0.508027686,0.948669024
0.36797859,0.816660748
0.36797859,0.950604975
0.520677289,0.716681791
0.23266381,0.999486964
0.911560279,0.702203287
0.629228767,0.702203287
0.415619167,0.816450241
0.380571711,0.170005795
0.032262833,0.079904349
0.889181159,0.345961696
0.074403091,0.99933351
0.443444751,0.349390053
0.925473627,0.999973228
0.514636133,0.000190737
0.975066769,0.457792403
0.6895027,0.999862942
0.947663965,0.000617874
0.829548605,0.902363446
